Source,Actor Seg,Final Segment,Pickup,Delivery,Distinct Order Count,Product Name
WLS,Direct,MSMB Direct,,,50,Mobility IoT
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,2,Mobility Voice
WLS,Direct,MSMB Direct,,,2,Mobility Voice
WLS,Direct,MSMB Direct,,,5,Mobility Voice
WLS,Direct,MSMB Direct,,,5,Mobility Voice
WLS,Direct,MSMB Direct,,,7,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,4,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,5,Mobility Voice
WLS,Others,MSMB Others,,,"2,000",Mobility IoT
WLS,Others,MSMB Others,,,"6,000",Mobility IoT
WLS,Others,MSMB Others,,,"2,400",Mobility IoT
WLS,Others,MSMB Others,,,45,Mobility IoT
WLS,Others,MSMB Others,,,3,Mobility Voice
WLS,Others,MSMB Others,,,4,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,10,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,4,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,5,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,4,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,3,Mobility Voice
WLS,Others,MSMB Others,,,20,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,4,Mobility Voice
WLS,Direct,MSMB Direct,,,4,Mobility Voice
WLS,Direct,MSMB Direct,,,5,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,2,Mobility Voice
WLS,Direct,MSMB Direct,,,2,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,2,Mobility Voice
WLS,Direct,MSMB Direct,,MTD,1,Mobility Voice
WLS,Direct,MSMB Direct,,,13,Mobility Voice
WLS,Direct,MSMB Direct,,,4,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,MTD,2,Mobility Voice
WLS,Direct,MSMB Direct,,MTD,1,Mobility Voice
WLS,Direct,MSMB Direct,,,4,Mobility Voice
WLS,Direct,MSMB Direct,,,3,Mobility Voice
WLS,Direct,MSMB Direct,,,2,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,3,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,2,Mobility Voice
WLS,Direct,MSMB Direct,,,2,Mobility Voice
WLS,Direct,MSMB Direct,,,2,Mobility Voice
WLS,Direct,MSMB Direct,,,4,Mobility Voice
WLS,Direct,MSMB Direct,,,3,Mobility Voice
WLS,Direct,MSMB Direct,,,2,Mobility Voice
WLS,Direct,MSMB Direct,,,2,Mobility Voice
WLS,Direct,MSMB Direct,,,3,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
